,type,event_timex,tlink_label
0,gold,composite was off 1 *end* nzx-50 was up 0 *end*,overlap
1,gold,*start* *start* designed by some these investments use different strategies,after
2,gold,fund might sell off its stock average dropped 121 points,unspecified
3,gold,*start*  saw its index is still down about 50%,unspecified
4,gold,*start* has dropped to 1 inflation is estimated at 1,overlap
5,gold,index was down 0 *end* *start* 5% lower *end* *end*,overlap
6,gold,of popularity this year *end* *end* record levels reached in the,unspecified
7,gold,200 was down 0 *end* composite was off 1 *end*,overlap
8,gold,smallcap 600 shed 3 *end* videogame makers powered up after,overlap
9,gold,better buy today than they they were yesterday *end* *end*,unspecified
